# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,FS,231,0:26.332.019,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,232,0:26.332.027,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,233,0:26.747.069,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,234,0:26.364.038,383.991.083 ms,7 B,,49,01,IN txn   [12 POLL],80 80 80 80 0F 04 00
1,FS,235,0:26.364.038,351.982.750 ms,,,49,01,   [12 IN-NAK],
1,FS,236,0:26.748.018,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,237,0:26.748.021,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,238,0:26.748.029,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,239,0:27.231.071,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,240,0:26.780.041,479.991.416 ms,7 B,,49,01,IN txn   [15 POLL],80 80 80 80 0F 00 00
1,FS,241,0:26.780.041,447.982.916 ms,,,49,01,   [15 IN-NAK],
1,FS,242,0:27.260.020,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,243,0:27.260.024,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,244,0:27.260.032,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,245,0:28.139.076,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,246,0:27.292.046,863.991.250 ms,7 B,,49,01,IN txn   [27 POLL],80 80 80 80 0F 04 00
1,FS,247,0:27.292.046,831.982.916 ms,,,49,01,   [27 IN-NAK],
1,FS,248,0:28.156.026,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,249,0:28.156.029,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,250,0:28.156.037,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,251,0:29.110.080,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,252,0:28.188.034,928.009.250 ms,7 B,,49,01,IN txn   [29 POLL],80 80 80 80 0F 00 00
1,FS,253,0:28.188.034,896.000.750 ms,,,49,01,   [29 IN-NAK],
1,FS,254,0:29.116.031,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,255,0:29.116.034,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,256,0:29.116.042,750 ns,1 B,,49,01,   ACK packet,D2
