# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,FS,8090,12:21.441.784,12.583 us,8 B,,12,02,IN txn,03 20 4B 04 80 01 00 00
1,FS,8091,12:21.441.784,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8092,12:21.441.787,7.416 us,11 B,,12,02,   DATA0 packet,C3 03 20 4B 04 80 01 00 00 58 58
1,FS,8093,12:21.441.796,666 ns,1 B,,12,02,   ACK packet,D2
0,FS,8094,12:22.069.006,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8095,12:21.445.783,632.015.000 ms,18 B,,12,02,IN txn   [158 POLL],20 00 1B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8096,12:21.445.783,627.999.500 ms,,,12,02,   [158 IN-NAK],
1,FS,8097,12:22.077.778,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8098,12:22.077.782,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 1B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 34 55
1,FS,8099,12:22.077.797,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8100,12:22.815.009,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8101,12:22.081.787,744.015.250 ms,18 B,,12,02,IN txn   [186 POLL],20 00 1C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8102,12:22.081.787,739.999.833 ms,,,12,02,   [186 IN-NAK],
1,FS,8103,12:22.825.783,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8104,12:22.825.786,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 1C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 48 F7
1,FS,8105,12:22.825.801,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8106,12:23.235.011,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8107,12:22.829.790,416.013.833 ms,18 B,,12,02,IN txn   [104 POLL],20 00 1D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8108,12:22.829.790,411.998.416 ms,,,12,02,   [104 IN-NAK],
1,FS,8109,12:23.245.785,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8110,12:23.245.788,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 1D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD B7 F7
1,FS,8111,12:23.245.803,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8112,12:24.056.016,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8113,12:23.249.793,808.015.250 ms,18 B,,12,02,IN txn   [202 POLL],20 00 1E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8114,12:23.249.793,803.999.750 ms,,,12,02,   [202 IN-NAK],
1,FS,8115,12:24.057.789,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8116,12:24.057.792,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 1E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD C9 96
1,FS,8117,12:24.057.808,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8118,12:24.742.019,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8119,12:24.061.798,692.014.666 ms,18 B,,12,02,IN txn   [173 POLL],20 00 1F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8120,12:24.061.798,687.999.250 ms,,,12,02,   [173 IN-NAK],
1,FS,8121,12:24.753.793,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8122,12:24.753.796,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 1F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 36 96
1,FS,8123,12:24.753.812,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8124,12:25.173.021,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8125,12:24.757.801,424.013.833 ms,18 B,,12,02,IN txn   [106 POLL],20 00 20 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8126,12:24.757.801,419.998.416 ms,,,12,02,   [106 IN-NAK],
1,FS,8127,12:25.181.795,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8128,12:25.181.798,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 20 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 59 E6
1,FS,8129,12:25.181.814,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8130,12:25.809.024,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8131,12:25.185.803,632.015.000 ms,18 B,,12,02,IN txn   [158 POLL],20 00 21 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8132,12:25.185.803,627.999.583 ms,,,12,02,   [158 IN-NAK],
1,FS,8133,12:25.817.799,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8134,12:25.817.802,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 21 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD A6 E6
1,FS,8135,12:25.817.817,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8136,12:26.677.029,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8137,12:25.821.807,864.016.333 ms,18 B,,12,02,IN txn   [216 POLL],20 00 22 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8138,12:25.821.807,860.000.916 ms,,,12,02,   [216 IN-NAK],
1,FS,8139,12:26.685.803,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8140,12:26.685.807,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 22 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D8 87
1,FS,8141,12:26.685.822,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8142,12:27.430.032,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8143,12:26.689.812,748.015.333 ms,18 B,,12,02,IN txn   [187 POLL],20 00 23 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8144,12:26.689.812,743.999.916 ms,,,12,02,   [187 IN-NAK],
1,FS,8145,12:27.437.807,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8146,12:27.437.811,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 23 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 27 87
1,FS,8147,12:27.437.826,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8148,12:27.971.035,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8149,12:27.441.815,536.014.500 ms,18 B,,12,02,IN txn   [134 POLL],20 00 24 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8150,12:27.441.815,531.999.083 ms,,,12,02,   [134 IN-NAK],
1,FS,8151,12:27.977.810,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8152,12:27.977.814,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 24 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 5B 25
1,FS,8153,12:27.977.829,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8154,12:28.394.037,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8155,12:27.981.810,424.021.750 ms,18 B,,12,02,IN txn   [106 POLL],20 00 25 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8156,12:27.981.810,420.006.250 ms,,,12,02,   [106 IN-NAK],
1,FS,8157,12:28.405.813,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8158,12:28.405.816,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 25 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD A4 25
1,FS,8159,12:28.405.831,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8160,12:28.915.040,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8161,12:28.409.821,512.014.000 ms,18 B,,12,02,IN txn   [128 POLL],20 00 26 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8162,12:28.409.821,507.998.583 ms,,,12,02,   [128 IN-NAK],
1,FS,8163,12:28.921.815,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8164,12:28.921.819,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 26 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD DA 44
1,FS,8165,12:28.921.834,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8166,12:29.470.043,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8167,12:28.925.823,552.014.666 ms,18 B,,12,02,IN txn   [138 POLL],20 00 27 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8168,12:28.925.823,547.999.166 ms,,,12,02,   [138 IN-NAK],
1,FS,8169,12:29.477.818,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8170,12:29.477.822,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 27 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 25 44
1,FS,8171,12:29.477.837,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8172,12:30.198.047,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8173,12:29.481.822,720.019.916 ms,18 B,,12,02,IN txn   [180 POLL],20 00 28 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8174,12:29.481.822,716.004.416 ms,,,12,02,   [180 IN-NAK],
1,FS,8175,12:30.201.822,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8176,12:30.201.826,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 28 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 5E 20
1,FS,8177,12:30.201.841,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8178,12:30.656.049,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8179,12:30.205.831,456.013.750 ms,18 B,,12,02,IN txn   [114 POLL],20 00 29 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8180,12:30.205.831,451.998.250 ms,,,12,02,   [114 IN-NAK],
1,FS,8181,12:30.661.825,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8182,12:30.661.828,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 29 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD A1 20
1,FS,8183,12:30.661.844,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8184,12:31.443.053,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8185,12:30.665.849,787.999.166 ms,18 B,,12,02,IN txn   [197 POLL],20 00 2A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8186,12:30.665.849,783.983.750 ms,,,12,02,   [197 IN-NAK],
1,FS,8187,12:31.453.829,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8188,12:31.453.832,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 2A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD DF 41
1,FS,8189,12:31.453.848,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8190,12:31.927.055,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8191,12:31.457.837,480.014.333 ms,18 B,,12,02,IN txn   [120 POLL],20 00 2B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8192,12:31.457.837,475.998.916 ms,,,12,02,   [120 IN-NAK],
1,FS,8193,12:31.937.832,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8194,12:31.937.835,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 2B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 20 41
1,FS,8195,12:31.937.851,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8196,12:32.812.060,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8197,12:31.941.840,880.015.666 ms,18 B,,12,02,IN txn   [220 POLL],20 00 2C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8198,12:31.941.840,876.000.250 ms,,,12,02,   [220 IN-NAK],
1,FS,8199,12:32.821.837,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8200,12:32.821.840,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 2C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 5C E3
1,FS,8201,12:32.821.855,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8202,12:33.317.062,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8203,12:32.825.844,496.014.333 ms,18 B,,12,02,IN txn   [124 POLL],20 00 2D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8204,12:32.825.844,491.998.750 ms,,,12,02,   [124 IN-NAK],
1,FS,8205,12:33.321.839,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8206,12:33.321.843,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 2D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD A3 E3
1,FS,8207,12:33.321.858,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8208,12:33.924.065,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8209,12:33.325.848,600.014.166 ms,18 B,,12,02,IN txn   [150 POLL],20 00 2E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8210,12:33.325.848,595.998.666 ms,,,12,02,   [150 IN-NAK],
1,FS,8211,12:33.925.843,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8212,12:33.925.846,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 2E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD DD 82
1,FS,8213,12:33.925.861,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8214,12:34.403.068,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8215,12:33.929.850,480.014.166 ms,18 B,,12,02,IN txn   [120 POLL],20 00 2F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8216,12:33.929.850,475.998.750 ms,,,12,02,   [120 IN-NAK],
1,FS,8217,12:34.409.845,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8218,12:34.409.848,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 2F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 22 82
1,FS,8219,12:34.409.864,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8220,12:35.292.072,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8221,12:34.413.853,884.016.416 ms,18 B,,12,02,IN txn   [221 POLL],20 00 30 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8222,12:34.413.853,880.000.916 ms,,,12,02,   [221 IN-NAK],
1,FS,8223,12:35.297.850,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8224,12:35.297.853,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 30 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 54 2A
1,FS,8225,12:35.297.869,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8226,12:36.085.076,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8227,12:35.301.858,796.015.666 ms,18 B,,12,02,IN txn   [199 POLL],20 00 31 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8228,12:35.301.858,792.000.166 ms,,,12,02,   [199 IN-NAK],
1,FS,8229,12:36.097.854,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8230,12:36.097.858,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 31 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD AB 2A
1,FS,8231,12:36.097.873,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8232,12:36.913.080,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8233,12:36.101.863,816.015.333 ms,18 B,,12,02,IN txn   [204 POLL],20 00 32 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8234,12:36.101.863,811.999.916 ms,,,12,02,   [204 IN-NAK],
1,FS,8235,12:36.917.859,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8236,12:36.917.862,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 32 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D5 4B
1,FS,8237,12:36.917.877,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8238,12:37.408.083,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8239,12:36.921.867,496.014.250 ms,18 B,,12,02,IN txn   [124 POLL],20 00 33 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8240,12:36.921.867,491.998.833 ms,,,12,02,   [124 IN-NAK],
1,FS,8241,12:37.417.861,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8242,12:37.417.865,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 33 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 2A 4B
1,FS,8243,12:37.417.880,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8244,12:38.118.086,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8245,12:37.421.869,708.015.416 ms,18 B,,12,02,IN txn   [177 POLL],20 00 34 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8246,12:37.421.869,704.000.000 ms,,,12,02,   [177 IN-NAK],
1,FS,8247,12:38.129.865,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8248,12:38.129.869,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 34 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 56 E9
1,FS,8249,12:38.129.884,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8250,12:38.973.091,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8251,12:38.133.865,848.024.000 ms,18 B,,12,02,IN txn   [212 POLL],20 00 35 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8252,12:38.133.865,844.008.583 ms,,,12,02,   [212 IN-NAK],
1,FS,8253,12:38.981.870,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8254,12:38.981.873,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 35 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD A9 E9
1,FS,8255,12:38.981.889,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8256,12:39.514.093,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8257,12:38.985.894,535.998.083 ms,18 B,,12,02,IN txn   [134 POLL],20 00 36 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8258,12:38.985.894,531.982.583 ms,,,12,02,   [134 IN-NAK],
1,FS,8259,12:39.521.873,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8260,12:39.521.876,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 36 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D7 88
1,FS,8261,12:39.521.892,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8262,12:40.059.096,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8263,12:39.525.873,536.022.416 ms,18 B,,12,02,IN txn   [134 POLL],20 00 37 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8264,12:39.525.873,532.006.833 ms,,,12,02,   [134 IN-NAK],
1,FS,8265,12:40.061.876,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8266,12:40.061.879,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 37 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 28 88
1,FS,8267,12:40.061.895,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8268,12:40.654.099,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8269,12:40.065.878,592.020.166 ms,18 B,,12,02,IN txn   [148 POLL],20 00 38 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8270,12:40.065.878,588.004.666 ms,,,12,02,   [148 IN-NAK],
1,FS,8271,12:40.657.879,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8272,12:40.657.882,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 38 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 53 EC
1,FS,8273,12:40.657.898,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8274,12:41.272.102,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8275,12:40.661.887,620.015.083 ms,18 B,,12,02,IN txn   [155 POLL],20 00 39 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8276,12:40.661.887,615.999.500 ms,,,12,02,   [155 IN-NAK],
1,FS,8277,12:41.281.882,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8278,12:41.281.886,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 39 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD AC EC
1,FS,8279,12:41.281.901,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8280,12:41.285.882,172.013.583 ms,8 B,,12,02,IN txn   [43 POLL],03 20 4C 04 80 01 00 00
1,FS,8281,12:41.285.882,168.004.916 ms,,,12,02,   [43 IN-NAK],
1,FS,8282,12:41.457.883,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8283,12:41.457.887,7.416 us,11 B,,12,02,   DATA0 packet,C3 03 20 4C 04 80 01 00 00 59 EF
1,FS,8284,12:41.457.895,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8285,12:41.892.105,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8286,12:41.461.909,439.995.916 ms,18 B,,12,02,IN txn   [110 POLL],20 00 3A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8287,12:41.461.909,435.980.416 ms,,,12,02,   [110 IN-NAK],
1,FS,8288,12:41.901.886,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8289,12:41.901.889,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 3A 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D2 8D
1,FS,8290,12:41.901.904,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8291,12:42.534.109,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8292,12:41.905.894,632.015.000 ms,18 B,,12,02,IN txn   [158 POLL],20 00 3B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8293,12:41.905.894,627.999.583 ms,,,12,02,   [158 IN-NAK],
1,FS,8294,12:42.537.889,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8295,12:42.537.892,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 3B 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 2D 8D
1,FS,8296,12:42.537.908,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8297,12:43.018.111,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8298,12:42.541.898,480.013.500 ms,18 B,,12,02,IN txn   [120 POLL],20 00 3C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8299,12:42.541.898,475.997.916 ms,,,12,02,   [120 IN-NAK],
1,FS,8300,12:43.021.892,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8301,12:43.021.895,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 3C 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 51 2F
1,FS,8302,12:43.021.911,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8303,12:43.440.113,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8304,12:43.025.901,424.012.500 ms,18 B,,12,02,IN txn   [106 POLL],20 00 3D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8305,12:43.025.901,419.997.000 ms,,,12,02,   [106 IN-NAK],
1,FS,8306,12:43.449.894,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8307,12:43.449.897,14.250 us,21 B,,12,02,   DATA0 packet,C3 20 00 3D 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD AE 2F
1,FS,8308,12:43.449.913,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8309,12:44.026.116,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8310,12:43.453.902,576.014.750 ms,18 B,,12,02,IN txn   [144 POLL],20 00 3E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8311,12:43.453.902,571.999.250 ms,,,12,02,   [144 IN-NAK],
1,FS,8312,12:44.029.897,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8313,12:44.029.900,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 3E 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD D0 4E
1,FS,8314,12:44.029.916,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8315,12:44.489.118,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,8316,12:44.033.905,464.014.083 ms,18 B,,12,02,IN txn   [116 POLL],20 00 3F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8317,12:44.033.905,459.998.500 ms,,,12,02,   [116 IN-NAK],
1,FS,8318,12:44.497.900,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8319,12:44.497.903,14.333 us,21 B,,12,02,   DATA0 packet,C3 20 00 3F 0E 00 00 00 00 00 00 DC 02 FB FA 39 01 1B FD 2F 4E
1,FS,8320,12:44.497.919,750 ns,1 B,,12,02,   ACK packet,D2
0,FS,8321,12:45.078.121,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,8322,12:44.501.908,584.014.833 ms,18 B,,12,02,IN txn   [146 POLL],20 00 40 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD
1,FS,8323,12:44.501.908,579.999.333 ms,,,12,02,   [146 IN-NAK],
1,FS,8324,12:45.085.903,2.083 us,3 B,,12,02,   IN packet,69 0C 71
1,FS,8325,12:45.085.906,14.250 us,21 B,,12,02,   DATA1 packet,4B 20 00 40 0E 00 10 00 00 00 00 DC 02 FB FA 39 01 1B FD 71 CE
1,FS,8326,12:45.085.922,750 ns,1 B,,12,02,   ACK packet,D2
